"","AR","beta_catenin","Caspase8","Caspase9","EGF","EGFR","HSP27","IGF_1","IGF1_R","IL6","IL6R","Jak","MEK","mTOR","MYC","NFkB","p53","PI3K","Rac","RAS","RPS6","Stat3","TNFa","TNFR","AKT","Cell_cycle","ERK1_2","GSK3","IKK","JNK","p38"
"EoL-1-cell",0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,NA,NA,0,NA,1,0,NA
"EPLC-272H",0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,NA,NA,NA,1,NA,NA
"ES1",1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,0,NA,NA,NA,0,NA,0,0
"ES3",1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,NA,NA,1,0,NA,0,0
"ES5",1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,NA,NA,1,NA,NA,NA,NA
"ES6",1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,NA,NA,0,0,NA,0
"ES7",1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,NA,NA,NA,0,0,NA,0
"ES8",1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,NA,NA,0,NA,NA,0
"ESS-1",0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,NA,0,NA,1,0,NA
"ETK-1",1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,NA,NA,NA,0,0,NA
"EVSA-T",1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,NA,0
"EW-1",1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,NA,NA,NA,0,NA,NA,0
"EW-11",1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,NA,NA,0,NA,NA,NA
"EW-12",1,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,NA,NA,1,0,NA,0,0
"EW-13",0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,NA,NA,1,0,NA,NA,0
"EW-16",1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,NA,NA,NA,0,NA,NA,NA
"EW-18",0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,NA,NA,1,1,NA,NA,0
"EW-22",1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,NA,1,0,NA,NA,0
"EW-24",0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,NA,NA,NA,NA,NA,0,0
"EW-3",1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,NA,NA,1,1,NA,NA,0
"EW-7",1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,NA,NA,1,0,NA,0,0
"FADU",0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,NA,NA,NA,NA,0,NA
"FTC-133",0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,0,1
"G-361",1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,NA,1,NA,0,0,0
"G-401",0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,NA,NA,1,0,0,0
"GAK",1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,NA,NA,NA,0,NA,0
"GAMG",0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,NA,NA,NA,NA,0,0
"GCIY",1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,NA,NA,NA,1,NA,0,0
"GCT",1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,NA,NA,NA,0,NA,0
"GI-1",0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,0
"GI-ME-N",1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,NA,NA,1,NA,NA,NA,0
"GMS-10",1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,NA,1,NA,NA,0,NA
"GOTO",1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,NA,NA,NA,NA,NA,0
